Date,Affiliate_Program,Product_Name,Promo_Code,Affiliate_Link,Post_Slug,Post_Title,Placement_Type,Status,Monthly_Revenue_BRL,Monthly_Clicks,Monthly_Conversions,Conversion_Rate_%,Commission_Rate_%,Notes,Last_Updated
2026-09-16,Descomplica,Descomplica Completo - ENEM 2026,ENEMPREP-DESC,https://go.descomplica.com.br/?ref=ENEMPREP-DESC&utm_source=descomplica&utm_medium=affiliate&utm_campaign=redacao-post,preparar-redacao-enem-2026,Como Preparar Redação para ENEM 2026,Inline + Footer,Active,4000,120,40,33.3%,18%,High-intent post; strong conversion,2026-09-16
2026-09-16,Udemy,ENEM 2026 Completo,ENEMPREP2026,https://udemy.com/course/enem-2026-completo/?couponCode=ENEMPREP2026&utm_source=udemy&utm_medium=affiliate&utm_campaign=comparison-post,melhores-cursos-enem,Melhores Cursos Online para ENEM,Comparison Table,Active,675,150,23,15.3%,20%,Comparison post; multiple affiliates,2026-09-16
2026-09-16,Stoodi,Stoodi Completo - Preparação para ENEM,STOODI-ENEM,https://stoodi.hotmart.com/?utm_source=stoodi&utm_medium=affiliate&utm_campaign=video-course-post,melhores-videoaulas-enem,Top Videoaulas para ENEM 2026,Sidebar Widget,Active,562,180,15,8.3%,25%,Video-focused content; demo embedded,2026-09-16
2026-09-16,Amazon,Enem Livro 4: Provas do Enem em Foco,N/A,https://amazon.com.br/gp/associates/[TAG]?utm_source=amazon&utm_medium=affiliate&utm_campaign=study-guide,logaritmos-enem,Tudo sobre Logaritmos ENEM,Footer Resource Box,Active,35,1400,28,2%,7%,Low-intent post; books relevant,2026-09-16
2026-09-16,Descomplica,Descomplica Completo - ENEM 2026,ENEMPREP-DESC,https://go.descomplica.com.br/?ref=ENEMPREP-DESC&utm_source=descomplica&utm_medium=affiliate&utm_campaign=comparison,descomplica-vs-stoodi,Descomplica vs Stoodi: Qual Escolher?,Inline CTA + Sidebar,Active,1500,60,18,30%,18%,Direct comparison; primary feature,2026-09-16
2026-09-16,Amazon,Problemas e Soluções Matemática ENEM,N/A,https://amazon.com.br/gp/associates/[TAG]?utm_source=amazon&utm_medium=affiliate&utm_campaign=math-guide,funcao-2-grau-enem,Função do 2º Grau ENEM Resolvida,Footer Resource Box,Active,45,850,36,4.2%,7%,Math-specific post; book recommendations,2026-09-16
2026-09-16,Udemy,Redação Nota Mil: Estratégias de Sucesso,ENEMPREP2026,https://udemy.com/course/redacao-nota-mil/?couponCode=ENEMPREP2026&utm_source=udemy&utm_medium=affiliate&utm_campaign=essay-guide,redacao-1000-pontos,Estratégia Redação 1000 Pontos ENEM,Inline CTA,Active,540,85,13,15.3%,20%,High-intent essay post,2026-09-16
2026-09-16,Descomplica,Descomplica Completo - ENEM 2026,ENEMPREP-DESC,https://go.descomplica.com.br/?ref=ENEMPREP-DESC&utm_source=descomplica&utm_medium=affiliate&utm_campaign=simulados,simulados-enem-gratis,Simulados ENEM Gratuitos Online,Sidebar Widget,Active,800,240,32,13.3%,18%,Trial signup focus; CPA revenue,2026-09-16
2026-09-16,Stoodi,Stoodi Completo - Preparação para ENEM,STOODI-ENEM,https://stoodi.hotmart.com/?utm_source=stoodi&utm_medium=affiliate&utm_campaign=physics-content,fisica-termodinamica-enem,Fisica Termodinamica ENEM,Sidebar Widget,Active,120,180,6,3.3%,25%,Physics subject post; secondary placement,2026-09-16
2026-09-16,Amazon,Redação Nota Mil: Estratégias de Sucesso,N/A,https://amazon.com.br/gp/associates/[TAG]?utm_source=amazon&utm_medium=affiliate&utm_campaign=writing-books,artigo-cientifico-enem,Artigo Cientifico ENEM 2024,Footer Resource Box,Active,30,600,18,3%,7%,Writing-focused post; book complementary,2026-09-16
2026-09-16,Descomplica,Descomplica Completo - ENEM 2026,ENEMPREP-DESC,https://go.descomplica.com.br/?ref=ENEMPREP-DESC&utm_source=descomplica&utm_medium=affiliate&utm_campaign=full-prep,plano-estudos-90-dias,Plano de Estudos 90 dias ENEM,Sidebar Widget,Active,950,280,38,13.6%,18%,Study schedule alignment; high engagement,2026-09-16
,,,,,,,,,0,0,0,0%,0%,Add rows for new affiliates or products,
,,,,,,,,,0,0,0,0%,0%,Keep one row per product per post,
,,,,,,,,,0,0,0,0%,0%,Update monthly with actual data,
